Job Title,Company Name,Location,Summary,Posting Date
Web Developer I,Suncap TechnologyCompany Name - Suncap Technology,"Cleveland, OH, USA","Mandatory Skills:  1-3 years Experience  Job Description For now, this position is semi-remote 3 days in the office, 2 days remote. S-W at any time may have everyone back in the office 5 days and the worker needs to understand this.  The schedule is a flexible 8:30 am-5:00 pm workday.  They will not sponsor or extend VISA\'s  Candidates must be able to commute to the downtown Cleveland office and secure their own parking.  Teams interviews will be conducted first then second face-to-face intervi",Posted 19 hours ago | Updated 5 hours ago
Web Developer I,EconosoftCompany Name - Econosoft,"Arapahoe, CO, USA","Role:Senior Web Developer Summary: Angular Development for the Client Portals applications. Utilize web stack:TypeScript, JavaScript, HTML, CSS, Angular, GraphQL, NGRX, Restful Microservice Architecture, RxJs Assist in building Spectrum Portals software to scale. Manage detailed application requirements and collaborate with Product, Development and Design teams to ensure quality features, and user experiences. Write code that meets the production requirements and design specifications. Ensure co",Posted moments ago
Web Developer I,CCS ITCompany Name - CCS IT,Remote,"Top Skills & 6 Years of Experience Development and Support experience on: Web-based applications using the .NET framework ASP.NET, MVC, .NET CORE, and supported programming languages (e.g., VB.net, C#) and scripting languages (e.g., TypeScript, JavaScript, jQuery).Experience with ASP.net web forms and SSRS reportingExperience with MS SQL server and other RDBMS systems.Experience in writing and maintaining DB functions, DB procedures and other T-SQL activitiesPerforms front-end and back-end devel",Posted moments ago
Web Developer I,Denken SolutionsCompany Name - Denken Solutions,"Cleveland, OH, USA","Currently, we are looking for talented resources for one of our listed clients. If interested please reply to me with your updated resume or feel free to reach out to me for more details at (949) 966-2121.  Title: Web Developer I  Location Address: 101 West Prospect Ave, Cleveland, OH 44115  Duration: 6 Months Job Description: When submitting candidates to the requisition please provide a write-up on their experience with Java, J2EE Web development, Spring Framework, Oracle Database, Shell scrip",Posted 1 day ago | Updated 1 hour ago
Web Developer I,ExperisCompany Name - Experis,"Redmond, WA, USA","This is an opportunity to join acreative and motivatedteam, work onexcitingnewprojects,and takeadvantage of thelatest technologywith backing and support from Microsoft.Join the group drivingworld-classgame development across Xbox and Windows devices. Responsibilities Develop & maintain custom community-focused WordPress-based websites Translate desktop, tablet, and mobile designs into responsive & accessible templates Own, troubleshoot & solve compliance, security, and maintenance issues Candida",Posted 41 days ago | Updated 5 hours ago
Web Developer I,Dumpa Consulting LLCCompany Name - Dumpa Consulting LLC,"Austin, TX, USA","Basic Qualifications (Required Skills/Experience): Bachelors of Science (or greater) from an accredited course of study, in engineering9+ years of experience in engineering, including design, integration, and/or certification or equivalent combination of additional education and relevant experienceExperience leading a cross-functional team Preferred Qualifications (Desired Skills/Experience): Strong understanding and demonstrated experience with FAA Title 14 Part 25 and/or EASA equivalentExperie",Posted 5 days ago | Updated 4 days ago
Web Developer I,Adifice TechnologiesCompany Name - Adifice Technologies,"Boston, MA, USA","Need local to Boston, MA or willing to relocate by his/her expense.  JOB DESCRPTION: Create and administer customer applications and server infrastructure providing web hosting and web application services to AFLCMC/HB directorate. Use tools and technology to create scripts, command-lets and applications, administer applications and application server platforms, manage application infrastructure during engineering phase and assist with transition to operations the capabilities builtParticipate i",Posted 5 days ago
Web Developer I,Robert HalfCompany Name - Robert Half,"Davenport, IA, USA","Description We are seeking a talented and motivated Web Developer with expertise in PHP programming and experience with Learning Management Systems (LMS). The ideal candidate will play a crucial role in designing, developing, and maintaining web applications, particularly within the realm of online education and training. The successful candidate will combine technical skills with a creative mindset to deliver intuitive and effective user experiences on our digital learning platforms. If you are",Posted 4 days ago | Updated 5 hours ago
Web Developer I,JobotCompany Name - Jobot,"Jacksonville, FL, USA","Our client in Jacksonville is looking to hire a Web Developer to their growing team!  This Jobot Job is hosted by: Nick Frei Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $90,000 - $120,000 per year  A bit about us:  We are seeking a highly skilled and motivated Permanent Web Developer to join our dynamic team in the Manufacturing industry. As a Web Developer, you will be responsible for creating and maintaining innovative web applications t",Posted 1 day ago | Updated 4 hours ago
Web Developer I,Techaffinity ConsultingCompany Name - Techaffinity Consulting,"Tampa, FL, USA","At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to",Posted 27 days ago | Updated 14 days ago
"Microsoft .NET Web Developer- Columbia, SC","Vector Consulting, IncCompany Name - Vector Consulting, Inc","Columbia, SC, USA","Our government client is looking for experiencedMicrosoft .NET Web Developeron a hybrid 6+ months renewable contract opportunity inColumbia, SC.  Role:Microsoft .NET Web Developer Position is hybrid. 75% work will be onsite. OPEN ON w2 ONLY  SCOPE OF THE PROJECT: SOFTWARE DEVELOPER FOR CUSTOM SOFTWARE DEVELOPMENT USING .NET, C#.NET, WEB APIS, WCF, XML, JSON  DAILY DUTIES / RESPONSIBILITIES:  WITH LIMITED SUPERVISION BUILDS, DESIGNS, AND IMPLEMENTS CUSTOM WEB APPLICATIONS AND API'S. TROUBLESHOOTS",Posted 25 days ago
"Microsoft .NET Web Developer- Columbia, SC",ModisCompany Name - Modis,"Cedar Rapids, IA, USA","This person needs to be local to Iowa City/ Cedar Rapids, IA area! This is a full-time position and candidates need to be able to work without sponsorship now and in the future.  Seeking a Mid - Sr Web Developer/Designer!  Salary: $65 - $80k/year depending on years of experience  The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation websites and web tools. You need to be a go getter and brin",Posted 30 days ago | Updated 5 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Robert HalfCompany Name - Robert Half,"Catoosa, OK, USA","Description If you're looking to further your career in web development, Robert Half is currently looking for a Web Developer with skills and experience to join their rapidly growing team. Are you creative and talented at coding? Do you know a lot about enterprise systems? Then apply today to put your talents as a Web Developer to the test. Based in Catoosa, Oklahoma, this is a full-time opportunity of employment.  What you get to do every day  Apply creative solutions to drive and code solution",Posted 23 days ago | Updated 5 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Robert HalfCompany Name - Robert Half,"Tulsa, OK, USA","Description A Web Developer in search of a new opportunity will be interested in Robert Half's new job opening. A strong command of enterprise systems, an excellent coding skillset, and the ability to think outside the box will be essential for this role. Find out more about this role by calling today. You could play a pivotal role in bringing projects to life! This Web Developer position in the Tulsa, Oklahoma, area is a full-time opportunity.  Key Responsibilities:  Collaborate with key partne",Posted 20 days ago | Updated 5 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Data Resource TechnologiesCompany Name - Data Resource Technologies,"Lincoln, NE, USA","Development team requires a full-stack java developer to work on development projects for the agency pension administration system. The system uses the java-based jClarety pension framework that has been implemented by public pension systems in several states. The developer will receive direction from the lead of the project, or directly from customers. The developer will plan, analyze, design, and develop on multiple functional enhancement or maintenance projects. The developer will preferably",Posted 41 days ago | Updated 5 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Nigel Frank InternationalCompany Name - Nigel Frank International,"Arlington, VA, USA","Job Description  In this role, you will be supporting impactful projects that make a difference for our country and the livelihood of our fellow citizens. You will be responsible for designing, developing, configuring and deploying web applications alongside a team of other talented individuals and will receive mentorship and the opportunity to learn and enhance upon development skills. Role & Responsibilities Develop, Design, and deploy web applications in accordance with software development a",Posted 27 days ago | Updated 3 hours ago
"Microsoft .NET Web Developer- Columbia, SC",JobotCompany Name - Jobot,"San Antonio, TX, USA","Remote .Net opportunity with premier San Antonio employer!  This Jobot Job is hosted by: Felix Frydberg Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $120,000 - $130,000 per year  A bit about us:  Our client is an industry leader who has built a reputation of innovation, strength, and stability. They pride themselves on discovering and developing employees who have exceptional character and a genuine passion for helping others. In return, th",Posted 2 days ago | Updated 4 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Ascendion Inc.Company Name - Ascendion Inc.,"Minneapolis, MN, USA","About Ascendion  Ascendion is a full-service digital engineering solutions company. We make and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees. Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation and impact for enterprise clients. Headquartered in New Jersey, our workforce of 6,000+ Ascenders delivers solutions from around the globe. Ascendion is built differently to e",Posted 26 days ago | Updated 2 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Kforce Technology StaffingCompany Name - Kforce Technology Staffing,"San Diego, CA, USA","RESPONSIBILITIES: Kforce has a client seeking a Web Developer IV in San Diego, CA.  Key Tasks: * Web Developer IV designs, develops, and implements software packages for websites * Troubleshoots, debugs, and implements software code  REQUIREMENTS: * Over 8 years of experience * Previous experience working on complex frontend Enterprise applications * React, Redux, TypeScript, HTML, CSS, GraphQL, AG Grid, Graphs, and Trees * Has deep knowledge of standard concepts, practices, and procedures * Flu",Posted 4 days ago | Updated 2 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Randstad DigitalCompany Name - Randstad Digital,"Pasadena, CA, USA","job summary:  Our client is a premier special education management and consulting firm and they're looking for a Web Developer to join their team! In this role, you will design, program, and troubleshoot the organization's website and related applications. This position offers generous benefits, a flexible hybrid schedule and tons of room for growth. If you're looking for a great opportunity to work with a leading consulting firm that's doing a lot of good for those with special education needs,",Posted 48 days ago | Updated 1 hour ago
"Microsoft .NET Web Developer- Columbia, SC",Motion RecruitmentCompany Name - Motion Recruitment,"Norcross, GA, USA","Job Description  We are a management consulting firm operating multiple gaming and retail companies across several states. We offer retailers the expertise needed to add or improve current terminal gaming operations, such as COAM, VLT, and VGT. We help our partners successfully manage risk while adding a highly profitable revenue stream and leveraging underutilized space. The Software Developer will work in all phases of the software development lifecycle, including requirement gathering, applic",Posted 42 days ago | Updated 4 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Robert HalfCompany Name - Robert Half,"Omaha, NE, USA",Description Join a long standing and stable company as a FULLSTACK DEVELOPER / WEB DEVELOPER / IMMEDIATE HIRE Must be CURRENTLY commutable to Omaha.  HYBRID schedule - ONSITE IN OFFICE 2 DAYS PER WEEK / WORK from home 3 days a week!  **PLEASE NO C2C OR SPONSORSHIP! Work for a premier employer who is well established and grown 10% year over year for the past 7 years! Awesome people focused culture with abundant opportunities for growth! AWESOME BENEFITS and TOTAL COMPENSATION WITH AWESOME LONG-TE,Posted 2 days ago | Updated 5 hours ago
"Microsoft .NET Web Developer- Columbia, SC",ExperisCompany Name - Experis,"Redmond, WA, USA","Our Client, a multinational technology company headquartered in Redmond, WA, is seeking a skilled Web Developer with JavaScript, Python and Web interface experience for a 6-18 month REMOTE contract assignment. As a Web Developer on the Quantum team you will be working on tools for a platform in Azure that serves customers in the chemistry and material science industry. The ideal candidate will be able to share prior work examples of source contribution and possess experience in JavaScript, Pytho",Posted 3 days ago | Updated 5 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Motion RecruitmentCompany Name - Motion Recruitment,"Newark, TX, USA","Job Description Join a team that is dedicated to making a positive impact in the lives of low-income families through personalized mentorship programs. Our mission is to empower these families by providing them with the guidance and support they need to overcome challenges and achieve their aspirations. We believe in the potential of every individual, and our team is committed to fostering a nurturing environment that facilitates growth, learning, and lasting connections. As we continue to expan",Posted 42 days ago | Updated 4 hours ago
"Microsoft .NET Web Developer- Columbia, SC",JobotCompany Name - Jobot,"Richardson, TX, USA","This Jobot Job is hosted by: Eric Williams Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $100,000 - $130,000 per year  A bit about us:  This company has become one of the leaders in web-based construction program management software. They have a collaborative platform that dramatically improves project execution, cuts costs and delays, increases accountability, and reduces risks.  Why join us?  Competitive salaries + Profit sharing plan Top",Posted 2 days ago | Updated 5 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Randstad DigitalCompany Name - Randstad Digital,"Jacksonville, FL, USA","job summary:  Position Summary:  Manage information technology projects based on current business needs as assigned. Serve as liaison between business and technical aspects of projects. Provide quality development and support for PC based applications. Skills Required:  Extensive knowledge of PC based software (Microsoft, off-the-shelf and custom  developed). Ability to read and interpret documents, operating and maintenance instructions,  and procedure manuals. Ability to compose reports, corre",Posted 19 days ago | Updated 1 hour ago
"Microsoft .NET Web Developer- Columbia, SC",KellyCompany Name - Kelly,"San Jose, CA, USA",Web Developer 1West Coast Time Zone Preferred Kelly Services top client is seeking aWeb Developer 1 Responsibilities/Job Description:  We are looking for a Web Producer. The ideal candidate will be responsible for publishing web content and product data updates on a corporate website while meeting high QA (Quality Assurance) standards. You will have knowledge and understanding of the Sitecore Content Management System (CMS) interface. You will support and communicate with the cross-functional te,Posted 28 days ago | Updated 5 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Brilliant Infotech Inc.Company Name - Brilliant Infotech Inc.,"Salt Lake City, UT, USA","SALT LAKE CITY, UTAH - HYBRID ONSITE - (Candidates should be local or ready/willing to relocate)  YOE: 6-9 years of software development experience  Required Skills:  Frontend and Backend split-goes hand in hand, depends on story  Angular version 6+ experience, (React, Vuejs would consider as well)  Node JS  not just installing NPM packages, need hands on programming expertise on framework built on nodejs  Preferred Skills:  Graph QL  AWS  code deployments, how to package app and containerize, g",Posted 31 days ago | Updated 6 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Motion RecruitmentCompany Name - Motion Recruitment,"Fort Worth, TX, USA","Job Description Join our compassionate team, a leading substance abuse rehabilitation clinic committed to providing effective care and support to individuals on their journey to recovery. At the heart of our mission is the belief that technology can play a vital role in extending a helping hand to those in need. We are seeking a skilled Web Developer to join us in developing and maintaining our digital platforms, enabling us to reach a wider audience and deliver crucial resources to those seekin",Posted 49 days ago | Updated 4 hours ago
"Microsoft .NET Web Developer- Columbia, SC",Rose InternationalCompany Name - Rose International,", NV, USA","Date Posted: 10/06/2023 Hiring Organization: Rose International Position Number: 451715  Job Title: Web Developer (.NET C#, ASP.NET, Web Services)  Job Location: Clark Co Courthouse, NV, USA, 89155  Employment Type: Temporary  Estimated Duration (In Weeks): 52  Min Hourly Rate($): 45.00  Max Hourly Rate($): 55.00  Skills/Attributes: .Net, ASP.net, C#, HTML5, JavaScript, jQuery, JSON, MS SQL Server, SOAP, SSRS, XML  Job Description **Only those lawfully authorized to work in the designated countr",Posted 3 days ago | Updated 5 hours ago
Microsoft .Net Web Developer,MARS ITCompany Name - MARS IT,"Madison, WI, USA","We are looking forServer System Validation Technicianfor our client inAustin, TXJob Title:Server System Validation TechnicianJob Location:Austin, TXJob Type: ContractJob Description:Responsibilities: Setup and configure x86 platforms.Develop and Execute Server System Validation Test plans (Operating Systems, Virtualization.Environment, System Stress Applications).Support lab debug activities.Experience and Education: Associates or Bachelor degree in Electronics/Computer Engineering or Computer S",Posted 41 days ago | Updated 1 day ago
Microsoft .Net Web Developer,Randstad DigitalCompany Name - Randstad Digital,"Kennesaw, GA, USA","job summary:  MUST HAVES:  Java script, C#, jQuery and Bootstrap Framework experience required. MVC and API Frameworks recommended. Experience creating and configuring web services Job Description:  This is a .Web MS Visual Studio Developer needed to rewrite Leesa Application until a replacement can be found. MS Web Developer 5+ years web development experience. 3-5 years SQL Server development experience. solid T-SQL and complex stored procedure development. 5+ years of experience designing and",Posted 5 days ago | Updated 1 hour ago
Microsoft .Net Web Developer,KellyCompany Name - Kelly,"San Jose, CA, USA",Web Developer 1 West Coast Time Zone Preferred Kelly Services top client is seeking a Web Developer 1 Responsibilities/Job Description: We are looking for a Web Producer. The ideal candidate will be responsible for publishing web content and product data updates on a corporate website while meeting high QA (Quality Assurance) standards. You will have knowledge and understanding of the Sitecore Content Management System (CMS) interface. You will support and communicate with the cross-functional t,Posted 32 days ago | Updated 5 hours ago
Microsoft .Net Web Developer,"Chandra Technologies,  Inc.Company Name - Chandra Technologies,  Inc.",Remote,Job Description: Work location: Candidate must be a CURRENT WI resident. No relocation allowed. 100% remote within the State of Wisconsin. The Department of Justice has projects underway and continuing through FY23 which require the skills of a Certified Microsoft.Net web Developer II position. This is an application support position that will work on internal and external end-user support on a legacy application along with incident fixes and enhancements. Looking for candidate with 6 or more ye,Posted 1 day ago
Microsoft .Net Web Developer,JobotCompany Name - Jobot,"Burnsville, MN, USA","Leading transportation company is looking for a Front End Developer with extensive Angular experience for a long term contract opportunity!  This Jobot Job is hosted by: Julie Massey Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $50 - $65 per hour  A bit about us:  Leading transportation company is looking for a Front End Developer with extensive Angular experience for a long term contract opportunity!  Why join us?  Excellent benefits packa",Posted 3 days ago | Updated 5 hours ago
Microsoft .Net Web Developer,"USG, Inc.Company Name - USG, Inc.","Bloomington, MN, USA","Web Developer or Angular Developer Bloomington, MN (Hybrid) only on W2.  Skillset:  Angular 14/15, Typescript, Node js, Azure functions, SQL, Azure DevOps. Java not required, but would be a bonus.  Driver: Addition to existing team to help with work demand  Application: Other, internal apps could come up.  Location: Prefer Twin Cities. I'll consider alternatives if you find the perfect candidate. Need onshore for this. Will expect some time in office (near the airport). Hybrid remote work defini",Posted 28 days ago | Updated 17 hours ago
Microsoft .Net Web Developer,Next Step SystemsCompany Name - Next Step Systems,"Severna Park, MD, USA","Web Developer, TS/SCI with Full Scope Poly Security Clearance Required, Severna Park, MD  The selected Web Developer will join an existing team providing web portal services in support of the Corporate Management Services (CMS) transformation activities focused on establishing and maintaining CMS Web pages, the Service Reliability Engineering (SRE) products and services and providing user experience support. The role requires a self-motivated individual that is comfortable working in a team envi",Posted 26 days ago | Updated 9 hours ago
Microsoft .Net Web Developer,KellyCompany Name - Kelly,"McLean, VA, USA","REQ#:  9104775  MUST BE ABLE TO WORK ON AN EMPLOYEE BASIS  NO C2C  REMOTE  Our client is expanding and currently seeks a SENIOR WEB DEVELOPER For a 6+ month assignment with possible extensions! Could lead to DIRECT-HIRE! LOCATION: REMOTE Leverage yourFRONT-END - JavaScript  -  AZURE - DOCKER  skills to help take your career with our client to the ""Next Level"" for 2023 and beyond! Overview: Our client seeks a Senior WEB Developer to work with Agile teams through all phases of the development life",Posted 20 days ago | Updated 5 hours ago
Microsoft .Net Web Developer,PandologicCompany Name - Pandologic,"Columbia, MD, USA","Location: Columbia, MarylandJob Type: Temp to PermCompensation Range: $65 - 70 per hourWe are seeking a talented and experienced WordPress Web Developer to join our client's team for a hybrid, temp-to-perm opportunity!As a WordPress Web Developer for our client, you will play a crucial role in creating and maintaining WordPress websites that not only look stunning but also function seamlessly. You will collaborate with the design and marketing teams to turn visions into reality, ensuring the hig",Posted 11 days ago | Updated moments ago
Microsoft .Net Web Developer,HRK Solutions LLC.Company Name - HRK Solutions LLC.,"Frisco, TX, USA","We are seeking a talented Python Web Developer to join our dynamic team. In this role, you will: Develop and maintain Python-based web applications using Django and Flask.Collaborate with front-end developers to integrate user-facing elements.Optimize web applications for maximum speed and scalability.Implement security and data protection measures.Troubleshoot and resolve application bugs and issues.Requirements: Bachelor's degree in Computer Science or related field.Proven experience in Python",Posted 12 days ago
Microsoft .Net Web Developer,"TrustMinds, Inc.Company Name - TrustMinds, Inc.","Newark, DE, USA","Role: Senior Full-stack Developer (LAMP / PHP / Magento)  Type: Direct-hire, Full-Time (Permanent) Location/Schedule: Denver Tech Center, CO | Onsite 4 days per week, 1 WFH day Salary Range: $150k base (depending on experience) plus ~10% annual bonus eligible  We are partnered with a leading retail company in Denver seeking a Senior Full Stack Developer skilled in PHP/Magento to join team & play a key role in their long-term growth. You will manage the frontend, backend, database, and debugging",Posted 5 days ago | Updated 1 day ago
Microsoft .Net Web Developer,VIVA USA INCCompany Name - VIVA USA INC,"Chicago, IL, USA","Role: Databricks Architect Location: O'Fallen, MO (Onsite from day one)  Job Description : 5+ years in a customer facing Technical architecture, consulting role with the expertise in The following technology. Developing modern Data warehouse solutions using Databricks and AWS/Azure stack. Drive technical discussion with client architect and team members. Knowledge in Databricks DELTA lake for the Analytical data lake use case Hand on experience in create MLOPS data pipeline creation. AIML Models",Posted 54 days ago | Updated 14 days ago
Microsoft .Net Web Developer,JobotCompany Name - Jobot,"Glendale, CA, USA","UI Web Developer Needed  This Jobot Job is hosted by: Richard Davis Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $60 - $75 per hour  A bit about us:  My client is a growing online fashion company in the Los Angeles area.  Why join us?  Great Benefits Great Culture Great Compensation  Job Details  Job Details:  We are seeking a passionate and skilled Contract UI Web Developer to join our dynamic team in the manufacturing industry. The succes",Posted 1 day ago | Updated 4 hours ago
Microsoft .Net Web Developer,Take Charge AmericaCompany Name - Take Charge America,"Phoenix, AZ, USA","JOB SUMMARY The temporary contract Full Stack Web Developer position assists with the implementation of a multifactor authentication login while maintaining a secure environment. They will help in developing email drip campaigns and adding new web pages. Furthermore, will assist with gathering of requirements, analyzing solution options, code software, test software, provide implementation support, and project status reporting. Position is also responsible for on-going support (debugging/mainten",Posted 18 days ago | Updated 6 days ago
Microsoft .Net Web Developer,Voluble Systems LLCCompany Name - Voluble Systems LLC,"Austin, TX, USA","Job Opportunity: Embedded C++ Linux Engineer for Automated Drone Delivery Robotics Are you a talented engineer with a passion for robotics, embedded C++ programming, and Linux systems? Join us as we revolutionize the future of automated drone delivery for food and groceries. Position: Embedded C++ Linux Engineer  Clearance: No security clearance required About Us:  A trailblazing force in the field of automated drone delivery technology. We are dedicated to creating cutting-edge solutions that e",Posted 18 days ago
Microsoft .Net Web Developer,Yoh - A Day & Zimmerman CompanyCompany Name - Yoh - A Day & Zimmerman Company,"Irving, TX, USA","We are currently in search of a dynamic and skilled Software Development Engineer to join our development teams in the delivery of top-notch software solutions. The Software Engineer will collaborate closely with program managers, product owners, and scrum teams to ensure the effective prioritization and implementation of new features.  Responsibilities:  Develop and design novel features using C# and React Web for web applications.Collaborate harmoniously with scrum teams and product owners to",Posted 20 days ago | Updated 1 hour ago
Microsoft .Net Web Developer,Adifice TechnologiesCompany Name - Adifice Technologies,"Boston, MA, USA","Title: Systems Engineer (MS Stack) Location: Katy, TX (Onsite Daily) Duration: Permanent, Direct-Hire Work Requirements: , Holders or Authorized to Work in the US (This is a direct-hire position - no C2C)Top Skills Required: Strong experience in M365, including Exchange Online and Azure AD Solid skills in on-prem Microsoft server technology  Qualified candidate should send their resume (Word format) to Nate Ackerman at .Responsibilities:  Installing, configuring, testing, and maintaining Azure A",Posted 5 days ago
Microsoft .Net Web Developer,Robert HalfCompany Name - Robert Half,"Des Moines, IA, USA",Description .Net Application Developer (Direct Hire PERM ) .NET positions like this are rare! Get the best of both worlds: Get the chance to develop but also have input on the technical direction and on projects as a .NET Application Developer on this team! You will be hands on technical on a small team environment where you can make suggestions and be heard! This .Net Applications Developer position is a permanent direct hire position with one of our clients. What You Will Be Doing: You will be,Posted 20 days ago | Updated 5 hours ago
