Job Title,Company Name,Location,Summary,Posting Date
Project Manager,Yash TechnologiesCompany Name - Yash Technologies,"Chicago, IL, USA","Description: Senior Manager with ""UKG Software solution"" Experience.The Sr Mgr is the primary Workday technical contact for the HR and Payroll functions and provides project leadership and governance to ensure successful deployment of the Workday ecosystemLead and facilitate the design and architecture of all modules of the Workday system.Resource should have strong knowledge on UKG software solution.",Posted 3 hours ago | Updated 3 hours ago
Project Manager,Randstad DigitalCompany Name - Randstad Digital,"Norfolk, VA, USA","job summary:  Randstad Federal. We have over a decade of experience providing talent with clearance and workforce solutions that drive bottom-line value for federal agencies and the organizations that serve them. Learn more about what we do, meet our experienced team and get an inside look at the strategic partnerships that set us apart. Let's talk about the role. Location: Norfolk, VA 23551 CLEARANCE: Active Secret Required Job Summary:  Project Manager who will plan, organize, secure, and mana",Posted 1 day ago | Updated moments ago
Project Manager,BOTG LLCCompany Name - BOTG LLC,"Crownsville, MD, USA","We are looking for a Project Manager(Remote) in Crownsville, MD for 4+ months contract position.  Job Description: Title: Project Manager(Remote) Location: 100 Community Place, Crownsville, MD 21032 Duration: 4+ months Client: Direct Client  Responsibilities: Establish appropriate strategies, performance and reporting metrics, and processes in support of the EPMO and its SDLC.Provide support, and guidance to the Oversight Project Management team within the EPMO with respect to MITDP oversight, A",Posted 23 hours ago | Updated 2 hours ago
Project Manager,Ampcus IncCompany Name - Ampcus Inc,"New Albany, OH, USA","Title: Project Manager Senior Duration : 10/30/2023 to 04/29/2024 Location: New Albany, OH 43054 Job Details:  Manages one or more high-level, complex non-technical projects within the constraints of scope, quality, time, and cost, to deliver specified requirements. Projects may be strategic in nature. Responsibilities may include resource allocation and all phases of development life cycle (i.e. feasibility study, requirements, analysis, ROI, business plan, design, testing, and implementation p",Posted 1 day ago
Project Manager,"NexInfo Solutions, Inc.Company Name - NexInfo Solutions, Inc.","La Verne, CA, USA","Role: AEM Project Manager Location: Fountain Valley, CA/Day 1 Onsite  Description:  Knowledge of AEM from UI perspective content management .  Primary function includes Project Management, Client Management and Team Leadership.  Work in tandem with pre-sales and account management team to understand the high-level requirements of a prospect create, validate and question the proposed estimates and timelines.  Lead complex projects/programs from conceptual design to implementation.  Own the applic",Posted 1 day ago | Updated 1 day ago
Project Manager,"CESUSA, INC.Company Name - CESUSA, INC.","Brownsburg, IN, USA","We are looking for senior Project Manager with Finance experience  Location :Brownsburg, IN, USA Hybrid role",Posted 5 days ago | Updated 3 hours ago
Project Manager,Collabera LLCCompany Name - Collabera LLC,"Salt Lake City, UT, USA","Job Title:Project Manager I Location:Salt Lake City, UT Type: Full time The opportunity This position is responsible for the design, specification, acquisition, construction, installation and qualification of facilities and utility equipment associated with production of solid dose pharmaceutical products. This position may lead multi-disciplined teams to develop the requirements for needed capital equipment, manage the acquisition process, and lead the installation effort on site. This position",Posted 1 day ago | Updated 2 hours ago
Project Manager,Micasa GlobalCompany Name - Micasa Global,"Sunnyvale, CA, USA",Job Requirements 5+ years of experience as Project Manager in Facilities Management Services using  Service ChannelManaging and collaborating with stakeholderExposure to the retail as well as corporate sectorService Channel experience in Must.,Posted 3 days ago
Project Manager,Randstad DigitalCompany Name - Randstad Digital,"Seattle, WA, USA","job summary:  Our client is a yoga-inspired technical apparel company up to big things. The practice and philosophy of yoga informs our overall purpose to elevate the world through the power of practice. We are proud to be a growing global company with locations all around the world, from Vancouver to Shanghai, and places in between. We owe our success to our innovative product, our emphasis on our stores, our commitment to our people, and the incredible connections we get to make in every commu",Posted 20 days ago | Updated moments ago
Project Manager,3A Soft IncCompany Name - 3A Soft Inc,"Albany, NY, USA","PROJECT MANAGER EXPERT JD: 84 months of experience in project management role of complex information technology projects  84 months of experience with project management and software development methodologies, including Agile, Software Development Lifecycle (SDLC)  84 months of experience with developing and maintaining project proposals, scopes, requirements, milestones, timelines  84 months of experience with developing and implementing effective communication plans and working across large mu",Posted 15 days ago | Updated 4 hours ago
Project Manager,TECHProjectsCompany Name - TECHProjects,,"Greetings, Below is the requirement with one of our direct client. Job Title: Project Manager  Location: Princeton NJ  Duration: 12 months Role Responsibilities: Senior core Project Manager experienced with PM tools Jira, Confluence, MS Project, Clarity, Project View etc. Leading, supporting, and coaching teams to deliver large and complex projects) and/or program(s) that span across one or more business units. Drive overall delivery execution; manage resources, schedules, financials and adhere",Posted 38 days ago | Updated 2 hours ago
Project Manager,Info-Matrix CorporationCompany Name - Info-Matrix Corporation,"Camp Hill, PA, USA","Info-Matrix Corporation is currently seeking a skilledProject Managerto join our team! As a member of the information technology team, the Project Manager works with other managers, analysts, customers, and vendor partners to manage the delivery of complex solutions on schedule and within budget, consistent with the modular Medicaid, MMIS system or in a health insurance Managed Care Organization setting.  Duties and ResponsibilitiesProvide day-to-day management of the project and be the principa",Posted 5 days ago
Project Manager,SynechronCompany Name - Synechron,"Chandler, AZ, USA","Job Title: Technology Solution Architect Full Stack Roles and RESPONSIBILITIES: A Technology Solution Architect is a critical role within an organization responsible for designing and implementing technology web solutions that align with the company's strategic goals and business needs. To excel in this role, you need a combination of technical expertise, architecture skills, and a deep understanding of the client organization's objectives. Requirement Solutioning: Work closely with business sta",Posted 19 days ago
Project Manager,Global Alliant IncCompany Name - Global Alliant Inc,,"Project Manager  Annapolis, MD  Up to $90/hour (all-inclusive) on 1099/C2C / $145,000/year on W2 Education: Bachelor's Degree from an accredited college or university in Engineering, Computer Science, Information Systems, Business, or other related discipline  Master's degree or project management certification preferred. Generalized Experience: At least five (5) years of experience in project management. Specialized Experience: Ten (10) years of experience in Agile related IT project management",Posted 7 days ago | Updated 6 hours ago
Project Manager,Beacon Hill Staffing GroupCompany Name - Beacon Hill Staffing Group,"Nashville, TN, USA","Beacon Hill Technologies in Nashville, TN is searching for a skilled Project Manager for our client here in the greater Nashville area. This individual will be joining a skilled PMO group who are in need of additional bandwidth for all their large initiatives within the company. The client is looking for a Project Manager with experience in creating, documenting, scheduling and maintaining projects within the organization. This individual will also need experience with Project Management tools,",Posted 17 days ago | Updated 2 hours ago
Project Manager,IO DatasphereCompany Name - IO Datasphere,"Madison, WI, USA","IO Datasphere, Inc. has been providing project management, software development and IT staff augmentation services to our clients in the Midwest and throughout the U.S. since 1996. We are an approved vendor on contract to provide software development and IT staff augmentation services for the States of Illinois, Michigan, Minnesota, Iowa, and Wisconsin. We also provide these services to businesses, as well as local and county governments, in the Midwest and nationwide.  Our client is looking for",Posted 11 days ago | Updated 5 days ago
Project Manager,Ledgent TechnologyCompany Name - Ledgent Technology,"Portland, OR, USA","Project Manager Portland, OR $80-90k plus bonus  Ledgent Technology is looking for a Project Manager to join our client's team! You'll report directly to our CFO, and work closely with their team members across different departments to utilize Lean and Six Sigma techniques.  This is an exciting opportunity for a forward-thinking, talented, and driven individual who is passionate about driving continuous improvement and making a positive impact on our client's company's success.  Examples of resp",Posted 26 days ago | Updated moments ago
Project Manager,Bridget Morgan LLCCompany Name - Bridget Morgan LLC,"New Haven, CT, USA","This is a hybrid role. Candidates must be able to work on site in New Haven CT 3 days per week. Job Summary:  Manages and oversees all aspects of complex technology projects to ensure they are completed on-time and within budget. Has overall responsibility for managing scope, cost, schedule, internal staffing and outside vendors, and contractual deliverable. Prepares reports for upper management regarding status of project. May assume a team lead role for the work group. Position Focus:  - Work",Posted 54 days ago | Updated 6 days ago
Project Manager,Noralogic IncCompany Name - Noralogic Inc,"Richmond, VA, USA","Job Title: Project Manager (PMP)  Job Address: 1401 E. Broad St. Richmond, VA  Job Type: Contract  Job Duration: 06/30/2024 (extendable) General Summary  *Local candidates only please  *Candidate MUST possess PMP certification through PMI or VITA's PM certification. No other certification qualify. *Candidate must also be able to work onsite 2-3 day/week Under the program manager, the project manager is responsible for the outcome of the assigned projects. The project manager leads the team throu",Posted 6 days ago | Updated 4 hours ago
Project Manager,StefaniniCompany Name - Stefanini,"Marietta, OH, USA","Stefanini Group is hiring! Stefanini is looking for Project Manager, Location: Warren Heights, OH For quick Apply, please reach out to Rajat Baloria at , Email: Open to W2 candidates only! Project Description:This person will be responsible for the project management duties related to the installation of a large machine tool and related facility expansion that is approximately $25M in scope. The machine (a forge press) is under construction and scheduled for delivery in May 2024 with project com",Posted 4 days ago | Updated moments ago
Project Manager,"RedSalsa Technologies, Inc.Company Name - RedSalsa Technologies, Inc.","Austin, TX, USA","Currently, we are looking for talented resources for one of our listed clients. If interested please reply to me with your updated resume or feel free to reach out to me for more details at (949) 508-2059. Title: Engineering Project Manager  Location: Saint Louis, MO  Duration: 18 Months Job Description: The Senior Engineer I (II & ) will manage small, minor, and major capital projects from end to end (concept, scope, cost, resources, funding, etc.) They maintain visibility to the design process",Posted 11 days ago | Updated 20 hours ago
Project Manager,Innosoul incCompany Name - Innosoul inc,"Richmond, VA, USA","Project is REMOTE and 1 year plus Sailpoint IIQ Architect but must have the architect certification  Architect-level experience on IdentityIQ (8-10+ years). IIQ Architect Certification is desirable.Excellent communication skills (written and spoken).Ability to manage complex environments and handle challenging clients.Experience operating as an Engagement Lead/Manager on large-scale SailPoint IdentityIQ projects.Experience working with large teams, handle/question client requirements.Must be in",Posted 6 days ago
Project Manager,Dumpa Consulting LLCCompany Name - Dumpa Consulting LLC,"Austin, TX, USA","Title: Project Manager 3  Duration :- Two years  Location:- 920 Colorado St, Austin, TX 78701 (Hybrid work) Required: Project Management Professional (PMP) Certification The Texas Department of Licensing and Regulation (TDLR) requires the services of one Project Manager 3 meeting the general qualifications of a Project Manager 3 Category Type, Core Technology and the specifications outlined in this solicitation.  Candidate will work with the Manager of the Project Management Office to perform co",Posted 5 days ago | Updated 4 days ago
Project Manager,Randstad DigitalCompany Name - Randstad Digital,"Seattle, WA, USA","job summary:  Randstad Technologies USA is seeking a skilled Project Manager  for a contract role in Seattle, WA. If you are ready to join a leader in the Retail and Technology space, please apply and Randstad will be more than happy to assist you land your next role in the Technology space. We look forward to speaking with you! location: Seattle, Washington  job type: Contract  salary: $70 - 75  per hour  work hours: 8am to 4pm  education: Bachelors responsibilities: Qualifications: ? Fosters c",Posted 25 days ago | Updated moments ago
Project Manager,HCLTechCompany Name - HCLTech,"San Jose, CA, USA","Hi, We are looking for Project Manager at San Jose, CA Location. This is a Full Time position and It's Day 1 Onsite too. If interested, please share me your updated resume. Below you can find the JD Salary $130/K + Benefits  Able to handle projects in two or more of the disciplines (including and not restricted to risk, distributed systems and storage, networks and telecommunications, premises)  Ability to work on Global and local projects across multiple disciplines (including and not restricte",Posted 5 days ago
Project Manager,"DataStaff, Inc.Company Name - DataStaff, Inc.","Richmond, VA, USA","DataStaff, Incis seeking aProject Managerfor a long-term contract opportunity with one of our direct clients located inRichmond, VA.  *The selected candidate will need to be onsite 2-3 days/week.  Responsibilities: Manage and deliver a complex IT project(s) with multiple teams and work streams coordinated to an aggressive delivery schedule.Under the program manager, the project manager is responsible for the outcome of the assigned projects.Leads the team through the Commonwealth Standard for Pr",Posted 4 days ago | Updated 3 days ago
Project Manager,Applied Thought Auditors & Consultants Inc.Company Name - Applied Thought Auditors & Consultants Inc.,"Richmond, VA, USA",Role: Senior Project Manager Location: Richmond VA – Hybrid - VA Candidates Preferred   NOTE:  Candidate MUST possess PMP certification through PMI or VITA's PM certification. No other certification qualify.  Candidate must also be able to work onsite 2-3 day/week  Job Description:  Candidate must have a minimum of 15 years’ experience managing large projects Required 10 Years Solid understanding of software development life cycle models as well as expert knowledge of both Agile and Waterfall pr,Posted 6 days ago
Project Manager,Collabera LLCCompany Name - Collabera LLC,"Charlotte, NC, USA","DayToDay Responsbilities: Facilitate and drive high-level work and coordination, engaging with executive stakeholders to ensure project goals are met Analyze the consequences and implications of your work, proactively identifying opportunities for change to deliver effective solutions Skillfully transform intricate concepts into actionable strategies that align with and advance business objectives Drive work and coordination at the executive level  Must Have: 8+ Years of Business and IT Project",Posted 13 days ago | Updated 2 hours ago
Project Manager,Intelliswift Software IncCompany Name - Intelliswift Software Inc,"Berwyn, PA, USA","Job Title: Project Manager Duration: 12 Months Location: Berwyn, PA, USA Pay Range: $42 per hour Intelliswift Software Inc. conceptualizes, builds, and supports the world's most amazing technology products and solutions. Our team of rich experts from diverse backgrounds contributes to making Intelliswift one of the most reliable partners in IT and Talent solutions. We specialize in delivering world-class Digital Product Engineering, Data Management and Analytics, and Staffing Solutions services",Posted 20 days ago
Project Manager,"V.L.S. Systems, IncCompany Name - V.L.S. Systems, Inc","Lansing, MI, USA","Strategic Program/Portfolio Manager Contact Center and Cloud experience preferred Why WWT? Fueled by creativity and ideation, World Wide Technology strives to accelerate our growth and nurture future innovation.  From our world class culture, to our generous benefits, to developing cutting edge technology solutions, WWT constantly works towards its mission of creating a profitable growth company that is a great place to work. We encourage our employees to embrace collaboration, get creative and",Posted 14 days ago | Updated 14 days ago
Project Manager,"Advent Global Solutions, Inc.Company Name - Advent Global Solutions, Inc.","Jackson, MS, USA","Role : Project Manager Location: Jackson, MS Contract Duration: 2+ Years Experience: 12+ Years Interview Mode: Skype  Should have experience in Unemployment Insurance Projects or Muli-tenant shared platforms. Requirements: 10 years experience leading other project managers, business analysts or other technical positions10 years experience in Scrum Kanban or other Agile methodology5 years experience in contract administration5 years experience in a technical discipline such as software developmen",Posted 7 days ago
Project Manager,Tri-Force Consulting Services IncCompany Name - Tri-Force Consulting Services Inc,"Philadelphia, PA, USA","Title :Project ManagerLocation : Philadelphia, PennsylvaniaClient : City of PhiladelphiaNote : This is an onsite position day 1 onsite.Job Description :The Library requires general deployment assistance onsite at all locations as well as project management.General deployment staff will be deployed with teams of Library staff and will work under their direction.,All library locations will be visited through this project.The project manager will work with Free Library management to plan, schedule,",Posted 4 days ago
Project Manager,"Judge Group, Inc.Company Name - Judge Group, Inc.","Santa Rosa Valley, CA, USA","Location:  Casa Conejo, CA  Salary:  $60.00 USD Hourly - $70.00 USD Hourly  Description: Title: Project Manager Location: Thousand Oaks, CA, USA (Remote Worker) Duration: 12+ Months / W2 Contract Project Management experience in the area of Companion Diagnostics/Drug Development in a Pharma-Biotech organization.  Responsibilities: Facilitate planning for diagnostic development and commercialization activities, supporting key drug development stage-gate decision points. Manage SharePoint and Team",Posted 12 days ago | Updated 3 hours ago
Project Manager,Randstad DigitalCompany Name - Randstad Digital,"Charlotte, NC, USA","job summary:  Job Description:  Control deficiencies analysis and remediation. Stewardship of, and fulfillment on, regulator-, audit-, and self-identified risk/audit issues, including related processes, content, communications, sustainability transitions and monitoring.  Identifying gaps and defining solutions to remediate the gaps, create controls and ensure sustainability in BAU. Overview:  Part of the GCFT organization, responsible for supporting enhanced governance and controls framework thr",Posted 5 days ago | Updated 21 hours ago
Project Manager,"Allied Consultants, Inc.Company Name - Allied Consultants, Inc.","Austin, TX, USA","OverviewAllied Consultants, Inc. is an Austin-based firm which has for 31 years been a premier provider of technical and business professionals to clients in Texas. We are currently seeking an experiencedProject Managerto be a key resource on a technical services team. Allied Consultants offers its family of consultants excellent rates, a local support staff, and an attractive benefits package which includes medical insurance (Allied shares a percentage of the cost), life insurance, a matching 4",Posted 13 days ago | Updated 1 day ago
Project Manager,Solomons InternationalCompany Name - Solomons International,"Richmond, VA, USA","Job Title: Lead Technical Business Analyst Location: Troy, MI (100% remote is acceptable, however any local candidates will be prioritized) Lead Technical Analysts: to lead technical design for DNA configuration a. Gap analysis of product requirements vs. DNA capability b. Lead technical design for DNA including mapping and configuration c. Need hands-on DNA experience Job Description: IT Technical Business AnalystAssist in a discovery phase to convert an existing system as the ""system of record",Posted 6 days ago
Project Manager,Compri ConsultingCompany Name - Compri Consulting,"Aurora, CO, USA","Client located in Aurora, Colorado is seeking a senior Project Manager for a contract to hire position. This position will join a 10 person team and be assigned to softwareimplementation projects and handle overall project assessment. Demonstrated experience integrating into an existing project, emotional intelligence and self awareness are critical to success.  Required: -Senior level software implementation project management skills. -Specific project management over testing, contingency plann",Posted 19 days ago | Updated 4 days ago
Project Manager,Intone Networks Inc.Company Name - Intone Networks Inc.,,"Position: Project Manager  Location: Clinton, CT / Middletown, CT - This is a Hybrid position with minimum 1 day/week  Duration: Long Term Description: Sr Project Manager to support multiple in-flight projects. The primary effort is an Oracle migration effort moving to cloud based Customer Care and Billing.  Responsibilities: The Sr. Project Manager must have the ability to lead complex business projects that require coordinating cross-functional internal and external teams/users. Must be capabl",Posted 60+ days ago | Updated 2 hours ago
Project Manager,Honu ServicesCompany Name - Honu Services,"Maringouin, LA, USA","Job Title: Project Manager Location: US Introduction: Rivet Operations Company (""Rivet"") is leader in physical and cyber security, scientific research and development and facilities management.  We are looking for an experienced Project Manager with GIS experience in the Leesville, LA area. Duties: Under the guidance of the Program Manager, is responsible for the overall management of the specific task order(s) and insuring that the technical/financial solutions and schedules in the specific del",Posted 8 days ago | Updated 2 hours ago
Project Manager,"Avenues International, Inc.Company Name - Avenues International, Inc.","New York, NY, USA","Note: - This is an Hybrid Position. You are requested to be at client location at least 1 to 2 days in a week  Job Title: Project Manager Location: 1-2 days per week in Brooklyn NYC is required  Project Manager (IT)  Position Overview: We are seeking a motivated and talented Project Manager to join our dynamic IT team. As a Project Manager, you will work closely with key team members to assist in ensuring a detailed and accurate project plan to achieve project deliverables on time. Your role wil",Posted 4 days ago
Project Manager,Mastech DigitalCompany Name - Mastech Digital,"Bedminster, NJ, USA","Mastech Digital provides digital and mainstream technology staff as well as Digital Transformation Services for all American Corporations. We are currently seeking a Project Manager for our client in the Telecom domain. We value our professionals, providing comprehensive benefits and the opportunity for growth. This is a Contract position, and the client is looking for someone to start immediately. Duration: 12 Months Contract Location: Bedminster, NJ (Hybrid) Role: Project Manager Primary Skill",Posted 20 days ago | Updated moments ago
Project Manager,Refulgent Technologies Inc.Company Name - Refulgent Technologies Inc.,"Columbia, SC, USA","ClientSolv Technologies is an IT solution firm with over a decade of experience serving Fortune 1000 companies, public sector and small to medium sized companies. We are seeking an IT Help Desk/Desktop Support Technician for a direct hire/permanent role in Lois Angeles, CA. This role will be onsite/in the office as an end-user facing/ first line of support for IT support requests, computer and facilities helpdesk support to all staff and onsite clients, providing triage, fulfillment, and escalat",Posted 7 days ago
Project Manager,"SolutionIT, Inc.Company Name - SolutionIT, Inc.","Chattanooga, TN, USA","Solution IT Inc. is looking for Project Manager for one of its clients in Chattanooga, TN (Onsite) Independent Candidates Only Job Title: Project Manager Summary This position is responsible for the coordination and completion of large projects and/or programs at the Enterprise level. Sets deadlines, assigns responsibilities, and monitors and summarizes progress of project or program. Prepares reports for upper management regarding status of projects or programs. This role supervises assigned as",Posted 3 days ago | Updated 5 hours ago
Project Manager,Gejits infotech IncCompany Name - Gejits infotech Inc,"Tallahassee, FL, USA","Who we are  BairesDev is proud to be the fastest-growing company in America. With people on five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.  Account Manager at BairesDev  We are looking for an Account Manager to join our Client Services Team. You will be",Posted 5 days ago
Project Manager,Inabia Software & Consulting Inc.Company Name - Inabia Software & Consulting Inc.,"Seattle, WA, USA",The Project Manager would manage a group of projects (portfolio of projects) around GIS (A Geographic Information System (GIS) is a computer system that analyzes and displays geographically referenced information. It uses data that is attached to a unique location).Top skills:GIS familiarity (Successfully worked on a GIS project within five years) Government background (within seven years) PM skills (at least five years at a senior level)  Professional Project Manager with certifications or awar,Posted 11 days ago
Project Manager,Reliable Software ResourcesCompany Name - Reliable Software Resources,"Chicago, IL, USA","Job Description: Top Skills' Details Must haves: Someone who can empathize with, and Apps team-will have been an application developer or application architect. Coming from a hands-on engineering background not just a devops role. Having some devops exposure especially on cloud is going to be really important. People and communication skills and being able to drive conversations, build relationships, reach out to people, and drive their own work- will be key behaviors. They will have to discover",Posted 4 days ago
Project Manager,TriCom Technical ServicesCompany Name - TriCom Technical Services,"Kansas City, MO, USA","Project Manager  Summary Our client is seeking a Project Management Professional with extensive PMO experience including working on large data projects. This individual must be organized, adaptable, flexible, and have strong communication skills. Requirements 5+ years project management experience.Experience working on large data related projects.Strong soft and communication skills.Organized, flexible, administrative. This is a 6-Month Contract-to-Hire opportunity with our Kansas City, MO clien",Posted 3 days ago | Updated 1 day ago
Project Manager,Federal Soft Systems Inc.Company Name - Federal Soft Systems Inc.,"Iowa City, IA, USA","The department is seeking a Project Manager to drive business and technology projects to completion while insuring adherence to established budgets, business plans, process, procedures and requirements while working closely with Business unit personnel, Business Analysts and Architects.  The project manager will be responsible for adhering to project management governance on multiple current and future projects. Additionally, the PM will be accountable for generating project schedules, identifyi",Posted 5 days ago
Project Manager,System Soft TechnologiesCompany Name - System Soft Technologies,"Dallas, TX, USA","Job Description  Project Manager System Soft Technologies is a leading technology company that provides innovative technical solutions and consulting services to enhance innovation, business value, and competitiveness. For over 23 years, our focus on becoming a trusted partner to each client has allowed us to become a $170MM+ company with a pool of over 1300 associates who cover the full spectrum of IT expertise. We are distinguished by our ability to anticipate the unique needs of our clients a",Posted 60+ days ago | Updated 25 days ago
Project Manager,Intone Networks Inc.Company Name - Intone Networks Inc.,,"Position: Project Manager  Work Location: 1800 Concord Pike Wilmington, DE 19850 - A minimum of 3 days in the office per week is required.  Duration: Long Term Background and Project Description  In an effort to support the transformation of AstraZeneca's brand performance tracking and insight generation, the GIACE(Global Insights Analytics & Commercial Excellence) Reporting team is leading several initiatives to simplify performance management and reporting to drive efficiencies in how data is",Posted 60+ days ago | Updated 2 hours ago
Project Manager,Harvey Nash Inc.Company Name - Harvey Nash Inc.,"Mount Prospect, IL, USA","Harvey Nash USA has been engaged to find an experienced IT Project Manager for a Major Airlines Client.   Job Title: IT Project Manager Location: Mount Prospect, IL (Onsite) Duration: 6+ Months Contract   Must Haves: Candidate must have IT Infrastructure background.Infrastructure Project Manager from Networking side with LAN /WAN/Cabling experience.Successful management of multiple concurrent IT projects.As it is an IT infrastructure Project, Candidate will be meeting projects which are Airport",Posted 7 days ago | Updated 7 days ago
Project Manager,MDMS RecruitingCompany Name - MDMS Recruiting,"Berkeley Heights, NJ, USA","Our Financial Client in Berkley Heights, NJ (5 days per week/onsite for 1st month then possible 4 days on site)) is seeking a FTE for a Project Management role.  Ensures project methodologies, project delivery processes, and implementation management processes are followed. This includes managing and driving: Project Schedule Risk and Issue Management Scope Change Management Create & Maintain the Initiative, Epic, Time Tracking stories in V1 & Jira.Please contact me, John Scovell",Posted 49 days ago | Updated 5 hours ago
